Date,Sunrise (CST),Sunset (CST),set,rise
2023/1/29,2023/1/29 06:47,2023/1/29 17:27,17,7
2023/1/30,2023/1/30 06:46,2023/1/30 17:28,17,7
2023/1/31,2023/1/31 06:45,2023/1/31 17:28,17,7
2023/2/1,2023/2/1 06:45,2023/2/1 17:29,17,7
2023/2/2,2023/2/2 06:44,2023/2/2 17:30,18,7
2023/2/3,2023/2/3 06:44,2023/2/3 17:31,18,7
2023/2/4,2023/2/4 06:43,2023/2/4 17:32,18,7
2023/2/5,2023/2/5 06:42,2023/2/5 17:33,18,7
2023/2/6,2023/2/6 06:41,2023/2/6 17:34,18,7
2023/2/7,2023/2/7 06:41,2023/2/7 17:35,18,7
2023/2/8,2023/2/8 06:40,2023/2/8 17:36,18,7
2023/2/9,2023/2/9 06:39,2023/2/9 17:36,18,7
2023/2/10,2023/2/10 06:38,2023/2/10 17:37,18,7
2023/2/11,2023/2/11 06:38,2023/2/11 17:38,18,7
2023/2/12,2023/2/12 06:37,2023/2/12 17:39,18,7
2023/2/13,2023/2/13 06:36,2023/2/13 17:40,18,7
2023/2/14,2023/2/14 06:35,2023/2/14 17:41,18,7
2023/2/15,2023/2/15 06:34,2023/2/15 17:41,18,7
2023/2/16,2023/2/16 06:33,2023/2/16 17:42,18,7
2023/2/17,2023/2/17 06:32,2023/2/17 17:43,18,7
2023/2/18,2023/2/18 06:31,2023/2/18 17:44,18,7
2023/2/19,2023/2/19 06:30,2023/2/19 17:45,18,7
2023/2/20,2023/2/20 06:29,2023/2/20 17:45,18,6
2023/2/21,2023/2/21 06:28,2023/2/21 17:46,18,6
2023/2/22,2023/2/22 06:27,2023/2/22 17:47,18,6
2023/2/23,2023/2/23 06:26,2023/2/23 17:48,18,6
2023/2/24,2023/2/24 06:25,2023/2/24 17:49,18,6
2023/2/25,2023/2/25 06:24,2023/2/25 17:49,18,6
2023/2/26,2023/2/26 06:23,2023/2/26 17:50,18,6
2023/2/27,2023/2/27 06:22,2023/2/27 17:51,18,6
2023/2/28,2023/2/28 06:21,2023/2/28 17:52,18,6
2023/3/1,2023/3/1 06:20,2023/3/1 17:52,18,6
2023/3/2,2023/3/2 06:19,2023/3/2 17:53,18,6
2023/3/3,2023/3/3 06:17,2023/3/3 17:54,18,6
2023/3/4,2023/3/4 06:16,2023/3/4 17:55,18,6
2023/3/5,2023/3/5 06:15,2023/3/5 17:55,18,6
2023/3/6,2023/3/6 06:14,2023/3/6 17:56,18,6
2023/3/7,2023/3/7 06:13,2023/3/7 17:57,18,6
2023/3/8,2023/3/8 06:12,2023/3/8 17:58,18,6
2023/3/9,2023/3/9 06:10,2023/3/9 17:58,18,6
2023/3/10,2023/3/10 06:09,2023/3/10 17:59,18,6
2023/3/11,2023/3/11 06:08,2023/3/11 18:00,18,6
2023/3/12,2023/3/12 06:07,2023/3/12 18:00,18,6
2023/3/13,2023/3/13 06:05,2023/3/13 18:01,18,6
2023/3/14,2023/3/14 06:04,2023/3/14 18:02,18,6
2023/3/15,2023/3/15 06:03,2023/3/15 18:02,18,6
2023/3/16,2023/3/16 06:02,2023/3/16 18:03,18,6
2023/3/17,2023/3/17 06:01,2023/3/17 18:04,18,6
2023/3/18,2023/3/18 05:59,2023/3/18 18:04,18,6
2023/3/19,2023/3/19 05:58,2023/3/19 18:05,18,6
2023/3/20,2023/3/20 05:57,2023/3/20 18:06,18,6
2023/3/21,2023/3/21 05:56,2023/3/21 18:06,18,6
2023/3/22,2023/3/22 05:54,2023/3/22 18:07,18,6
2023/3/23,2023/3/23 05:53,2023/3/23 18:08,18,6
2023/3/24,2023/3/24 05:52,2023/3/24 18:08,18,6
2023/3/25,2023/3/25 05:50,2023/3/25 18:09,18,6
2023/3/26,2023/3/26 05:49,2023/3/26 18:10,18,6
2023/3/27,2023/3/27 05:48,2023/3/27 18:10,18,6
2023/3/28,2023/3/28 05:47,2023/3/28 18:11,18,6
2023/3/29,2023/3/29 05:45,2023/3/29 18:12,18,6
2023/3/30,2023/3/30 05:44,2023/3/30 18:12,18,6
2023/3/31,2023/3/31 05:43,2023/3/31 18:13,18,6
2023/4/1,2023/4/1 05:42,2023/4/1 18:14,18,6
2023/4/2,2023/4/2 05:40,2023/4/2 18:14,18,6
2023/4/3,2023/4/3 05:39,2023/4/3 18:15,18,6
2023/4/4,2023/4/4 05:38,2023/4/4 18:16,18,6
2023/4/5,2023/4/5 05:37,2023/4/5 18:16,18,6
2023/4/6,2023/4/6 05:36,2023/4/6 18:17,18,6
2023/4/7,2023/4/7 05:34,2023/4/7 18:17,18,6
2023/4/8,2023/4/8 05:33,2023/4/8 18:18,18,6
2023/4/9,2023/4/9 05:32,2023/4/9 18:19,18,6
2023/4/10,2023/4/10 05:31,2023/4/10 18:19,18,6
2023/4/11,2023/4/11 05:30,2023/4/11 18:20,18,6
2023/4/12,2023/4/12 05:28,2023/4/12 18:21,18,5
2023/4/13,2023/4/13 05:27,2023/4/13 18:21,18,5
2023/4/14,2023/4/14 05:26,2023/4/14 18:22,18,5
2023/4/15,2023/4/15 05:25,2023/4/15 18:23,18,5
2023/4/16,2023/4/16 05:24,2023/4/16 18:23,18,5
2023/4/17,2023/4/17 05:23,2023/4/17 18:24,18,5
2023/4/18,2023/4/18 05:21,2023/4/18 18:25,18,5
2023/4/19,2023/4/19 05:20,2023/4/19 18:25,18,5
2023/4/20,2023/4/20 05:19,2023/4/20 18:26,18,5
2023/4/21,2023/4/21 05:18,2023/4/21 18:27,18,5
2023/4/22,2023/4/22 05:17,2023/4/22 18:27,18,5
2023/4/23,2023/4/23 05:16,2023/4/23 18:28,18,5
2023/4/24,2023/4/24 05:15,2023/4/24 18:29,18,5
2023/4/25,2023/4/25 05:14,2023/4/25 18:29,18,5
2023/4/26,2023/4/26 05:13,2023/4/26 18:30,19,5
2023/4/27,2023/4/27 05:12,2023/4/27 18:31,19,5
2023/4/28,2023/4/28 05:11,2023/4/28 18:31,19,5
2023/4/29,2023/4/29 05:10,2023/4/29 18:32,19,5
2023/4/30,2023/4/30 05:09,2023/4/30 18:33,19,5
2023/5/1,2023/5/1 05:08,2023/5/1 18:34,19,5
2023/5/2,2023/5/2 05:07,2023/5/2 18:34,19,5
2023/5/3,2023/5/3 05:06,2023/5/3 18:35,19,5
2023/5/4,2023/5/4 05:05,2023/5/4 18:36,19,5
2023/5/5,2023/5/5 05:04,2023/5/5 18:36,19,5
2023/5/6,2023/5/6 05:04,2023/5/6 18:37,19,5
2023/5/7,2023/5/7 05:03,2023/5/7 18:38,19,5
2023/5/8,2023/5/8 05:02,2023/5/8 18:38,19,5
2023/5/9,2023/5/9 05:01,2023/5/9 18:39,19,5
2023/5/10,2023/5/10 05:00,2023/5/10 18:40,19,5
2023/5/11,2023/5/11 05:00,2023/5/11 18:40,19,5
2023/5/12,2023/5/12 04:59,2023/5/12 18:41,19,5
2023/5/13,2023/5/13 04:58,2023/5/13 18:42,19,5
2023/5/14,2023/5/14 04:57,2023/5/14 18:42,19,5
2023/5/15,2023/5/15 04:57,2023/5/15 18:43,19,5
2023/5/16,2023/5/16 04:56,2023/5/16 18:44,19,5
2023/5/17,2023/5/17 04:55,2023/5/17 18:44,19,5
2023/5/18,2023/5/18 04:55,2023/5/18 18:45,19,5
2023/5/19,2023/5/19 04:54,2023/5/19 18:46,19,5
2023/5/20,2023/5/20 04:54,2023/5/20 18:46,19,5
2023/5/21,2023/5/21 04:53,2023/5/21 18:47,19,5
2023/5/22,2023/5/22 04:53,2023/5/22 18:48,19,5
2023/5/23,2023/5/23 04:52,2023/5/23 18:48,19,5
2023/5/24,2023/5/24 04:52,2023/5/24 18:49,19,5
2023/5/25,2023/5/25 04:51,2023/5/25 18:50,19,5
2023/5/26,2023/5/26 04:51,2023/5/26 18:50,19,5
2023/5/27,2023/5/27 04:50,2023/5/27 18:51,19,5
2023/5/28,2023/5/28 04:50,2023/5/28 18:52,19,5
2023/5/29,2023/5/29 04:50,2023/5/29 18:52,19,5
2023/5/30,2023/5/30 04:49,2023/5/30 18:53,19,5
2023/5/31,2023/5/31 04:49,2023/5/31 18:53,19,5
2023/6/1,2023/6/1 04:49,2023/6/1 18:54,19,5
2023/6/2,2023/6/2 04:49,2023/6/2 18:54,19,5
2023/6/3,2023/6/3 04:48,2023/6/3 18:55,19,5
2023/6/4,2023/6/4 04:48,2023/6/4 18:55,19,5
2023/6/5,2023/6/5 04:48,2023/6/5 18:56,19,5
2023/6/6,2023/6/6 04:48,2023/6/6 18:56,19,5
2023/6/7,2023/6/7 04:48,2023/6/7 18:57,19,5
2023/6/8,2023/6/8 04:48,2023/6/8 18:57,19,5
2023/6/9,2023/6/9 04:48,2023/6/9 18:58,19,5
2023/6/10,2023/6/10 04:48,2023/6/10 18:58,19,5
2023/6/11,2023/6/11 04:48,2023/6/11 18:59,19,5
2023/6/12,2023/6/12 04:48,2023/6/12 18:59,19,5
2023/6/13,2023/6/13 04:48,2023/6/13 19:00,19,5
2023/6/14,2023/6/14 04:48,2023/6/14 19:00,19,5
2023/6/15,2023/6/15 04:48,2023/6/15 19:00,19,5
2023/6/16,2023/6/16 04:48,2023/6/16 19:01,19,5
2023/6/17,2023/6/17 04:48,2023/6/17 19:01,19,5
2023/6/18,2023/6/18 04:48,2023/6/18 19:01,19,5
2023/6/19,2023/6/19 04:48,2023/6/19 19:02,19,5
2023/6/20,2023/6/20 04:48,2023/6/20 19:02,19,5
2023/6/21,2023/6/21 04:49,2023/6/21 19:02,19,5
2023/6/22,2023/6/22 04:49,2023/6/22 19:02,19,5
2023/6/23,2023/6/23 04:49,2023/6/23 19:02,19,5
2023/6/24,2023/6/24 04:49,2023/6/24 19:03,19,5
2023/6/25,2023/6/25 04:50,2023/6/25 19:03,19,5
2023/6/26,2023/6/26 04:50,2023/6/26 19:03,19,5
2023/6/27,2023/6/27 04:50,2023/6/27 19:03,19,5
2023/6/28,2023/6/28 04:50,2023/6/28 19:03,19,5
2023/6/29,2023/6/29 04:51,2023/6/29 19:03,19,5
2023/6/30,2023/6/30 04:51,2023/6/30 19:03,19,5
2023/7/1,2023/7/1 04:52,2023/7/1 19:03,19,5
2023/7/2,2023/7/2 04:52,2023/7/2 19:03,19,5
2023/7/3,2023/7/3 04:52,2023/7/3 19:03,19,5
2023/7/4,2023/7/4 04:53,2023/7/4 19:03,19,5
2023/7/5,2023/7/5 04:53,2023/7/5 19:03,19,5
2023/7/6,2023/7/6 04:54,2023/7/6 19:03,19,5
2023/7/7,2023/7/7 04:54,2023/7/7 19:03,19,5
2023/7/8,2023/7/8 04:55,2023/7/8 19:03,19,5
2023/7/9,2023/7/9 04:55,2023/7/9 19:02,19,5
2023/7/10,2023/7/10 04:56,2023/7/10 19:02,19,5
2023/7/11,2023/7/11 04:56,2023/7/11 19:02,19,5
2023/7/12,2023/7/12 04:57,2023/7/12 19:02,19,5
2023/7/13,2023/7/13 04:57,2023/7/13 19:01,19,5
2023/7/14,2023/7/14 04:58,2023/7/14 19:01,19,5
2023/7/15,2023/7/15 04:58,2023/7/15 19:01,19,5
2023/7/16,2023/7/16 04:59,2023/7/16 19:00,19,5
2023/7/17,2023/7/17 05:00,2023/7/17 19:00,19,5
2023/7/18,2023/7/18 05:00,2023/7/18 19:00,19,5
2023/7/19,2023/7/19 05:01,2023/7/19 18:59,19,5
2023/7/20,2023/7/20 05:01,2023/7/20 18:59,19,5
2023/7/21,2023/7/21 05:02,2023/7/21 18:58,19,5
2023/7/22,2023/7/22 05:03,2023/7/22 18:58,19,5
2023/7/23,2023/7/23 05:03,2023/7/23 18:57,19,5
2023/7/24,2023/7/24 05:04,2023/7/24 18:57,19,5
2023/7/25,2023/7/25 05:04,2023/7/25 18:56,19,5
2023/7/26,2023/7/26 05:05,2023/7/26 18:55,19,5
2023/7/27,2023/7/27 05:06,2023/7/27 18:55,19,5
2023/7/28,2023/7/28 05:06,2023/7/28 18:54,19,5
2023/7/29,2023/7/29 05:07,2023/7/29 18:53,19,5
2023/7/30,2023/7/30 05:08,2023/7/30 18:53,19,5
2023/7/31,2023/7/31 05:08,2023/7/31 18:52,19,5
2023/8/1,2023/8/1 05:09,2023/8/1 18:51,19,5
2023/8/2,2023/8/2 05:09,2023/8/2 18:50,19,5
2023/8/3,2023/8/3 05:10,2023/8/3 18:50,19,5
2023/8/4,2023/8/4 05:11,2023/8/4 18:49,19,5
2023/8/5,2023/8/5 05:11,2023/8/5 18:48,19,5
2023/8/6,2023/8/6 05:12,2023/8/6 18:47,19,5
2023/8/7,2023/8/7 05:13,2023/8/7 18:46,19,5
2023/8/8,2023/8/8 05:13,2023/8/8 18:45,19,5
2023/8/9,2023/8/9 05:14,2023/8/9 18:45,19,5
2023/8/10,2023/8/10 05:15,2023/8/10 18:44,19,5
2023/8/11,2023/8/11 05:15,2023/8/11 18:43,19,5
2023/8/12,2023/8/12 05:16,2023/8/12 18:42,19,5
2023/8/13,2023/8/13 05:16,2023/8/13 18:41,19,5
2023/8/14,2023/8/14 05:17,2023/8/14 18:40,19,5
2023/8/15,2023/8/15 05:18,2023/8/15 18:39,19,5
2023/8/16,2023/8/16 05:18,2023/8/16 18:38,19,5
2023/8/17,2023/8/17 05:19,2023/8/17 18:37,19,5
2023/8/18,2023/8/18 05:20,2023/8/18 18:36,19,5
2023/8/19,2023/8/19 05:20,2023/8/19 18:35,19,5
2023/8/20,2023/8/20 05:21,2023/8/20 18:33,19,5
2023/8/21,2023/8/21 05:21,2023/8/21 18:32,19,5
2023/8/22,2023/8/22 05:22,2023/8/22 18:31,19,5
2023/8/23,2023/8/23 05:23,2023/8/23 18:30,19,5
2023/8/24,2023/8/24 05:23,2023/8/24 18:29,18,5
2023/8/25,2023/8/25 05:24,2023/8/25 18:28,18,5
2023/8/26,2023/8/26 05:24,2023/8/26 18:27,18,5
2023/8/27,2023/8/27 05:25,2023/8/27 18:26,18,5
2023/8/28,2023/8/28 05:26,2023/8/28 18:24,18,5
2023/8/29,2023/8/29 05:26,2023/8/29 18:23,18,5
2023/8/30,2023/8/30 05:27,2023/8/30 18:22,18,5
2023/8/31,2023/8/31 05:27,2023/8/31 18:21,18,5
2023/9/1,2023/9/1 05:28,2023/9/1 18:20,18,5
2023/9/2,2023/9/2 05:29,2023/9/2 18:18,18,5
2023/9/3,2023/9/3 05:29,2023/9/3 18:17,18,5
2023/9/4,2023/9/4 05:30,2023/9/4 18:16,18,6
2023/9/5,2023/9/5 05:30,2023/9/5 18:15,18,6
2023/9/6,2023/9/6 05:31,2023/9/6 18:13,18,6
2023/9/7,2023/9/7 05:32,2023/9/7 18:12,18,6
2023/9/8,2023/9/8 05:32,2023/9/8 18:11,18,6
2023/9/9,2023/9/9 05:33,2023/9/9 18:10,18,6
2023/9/10,2023/9/10 05:33,2023/9/10 18:08,18,6
2023/9/11,2023/9/11 05:34,2023/9/11 18:07,18,6
2023/9/12,2023/9/12 05:35,2023/9/12 18:06,18,6
2023/9/13,2023/9/13 05:35,2023/9/13 18:04,18,6
2023/9/14,2023/9/14 05:36,2023/9/14 18:03,18,6
2023/9/15,2023/9/15 05:36,2023/9/15 18:02,18,6
2023/9/16,2023/9/16 05:37,2023/9/16 18:01,18,6
2023/9/17,2023/9/17 05:37,2023/9/17 17:59,18,6
2023/9/18,2023/9/18 05:38,2023/9/18 17:58,18,6
2023/9/19,2023/9/19 05:39,2023/9/19 17:57,18,6
2023/9/20,2023/9/20 05:39,2023/9/20 17:55,18,6
2023/9/21,2023/9/21 05:40,2023/9/21 17:54,18,6
2023/9/22,2023/9/22 05:40,2023/9/22 17:53,18,6
2023/9/23,2023/9/23 05:41,2023/9/23 17:51,18,6
2023/9/24,2023/9/24 05:42,2023/9/24 17:50,18,6
2023/9/25,2023/9/25 05:42,2023/9/25 17:49,18,6
2023/9/26,2023/9/26 05:43,2023/9/26 17:48,18,6
2023/9/27,2023/9/27 05:43,2023/9/27 17:46,18,6
2023/9/28,2023/9/28 05:44,2023/9/28 17:45,18,6
2023/9/29,2023/9/29 05:45,2023/9/29 17:44,18,6
2023/9/30,2023/9/30 05:45,2023/9/30 17:42,18,6
2023/10/1,2023/10/1 05:46,2023/10/1 17:41,18,6
2023/10/2,2023/10/2 05:46,2023/10/2 17:40,18,6
2023/10/3,2023/10/3 05:47,2023/10/3 17:39,18,6
2023/10/4,2023/10/4 05:48,2023/10/4 17:37,18,6
2023/10/5,2023/10/5 05:48,2023/10/5 17:36,18,6
2023/10/6,2023/10/6 05:49,2023/10/6 17:35,18,6
2023/10/7,2023/10/7 05:50,2023/10/7 17:34,18,6
2023/10/8,2023/10/8 05:50,2023/10/8 17:32,18,6
2023/10/9,2023/10/9 05:51,2023/10/9 17:31,18,6
2023/10/10,2023/10/10 05:51,2023/10/10 17:30,18,6
2023/10/11,2023/10/11 05:52,2023/10/11 17:29,17,6
2023/10/12,2023/10/12 05:53,2023/10/12 17:28,17,6
2023/10/13,2023/10/13 05:53,2023/10/13 17:26,17,6
2023/10/14,2023/10/14 05:54,2023/10/14 17:25,17,6
2023/10/15,2023/10/15 05:55,2023/10/15 17:24,17,6
2023/10/16,2023/10/16 05:56,2023/10/16 17:23,17,6
2023/10/17,2023/10/17 05:56,2023/10/17 17:22,17,6
2023/10/18,2023/10/18 05:57,2023/10/18 17:21,17,6
2023/10/19,2023/10/19 05:58,2023/10/19 17:20,17,6
2023/10/20,2023/10/20 05:58,2023/10/20 17:19,17,6
2023/10/21,2023/10/21 05:59,2023/10/21 17:18,17,6
2023/10/22,2023/10/22 06:00,2023/10/22 17:17,17,6
2023/10/23,2023/10/23 06:01,2023/10/23 17:15,17,6
2023/10/24,2023/10/24 06:01,2023/10/24 17:14,17,6
2023/10/25,2023/10/25 06:02,2023/10/25 17:13,17,6
2023/10/26,2023/10/26 06:03,2023/10/26 17:12,17,6
2023/10/27,2023/10/27 06:04,2023/10/27 17:12,17,6
2023/10/28,2023/10/28 06:04,2023/10/28 17:11,17,6
2023/10/29,2023/10/29 06:05,2023/10/29 17:10,17,6
2023/10/30,2023/10/30 06:06,2023/10/30 17:09,17,6
2023/10/31,2023/10/31 06:07,2023/10/31 17:08,17,6
2023/11/1,2023/11/1 06:07,2023/11/1 17:07,17,6
2023/11/2,2023/11/2 06:08,2023/11/2 17:06,17,6
2023/11/3,2023/11/3 06:09,2023/11/3 17:05,17,6
2023/11/4,2023/11/4 06:10,2023/11/4 17:04,17,6
2023/11/5,2023/11/5 06:11,2023/11/5 17:04,17,6
2023/11/6,2023/11/6 06:12,2023/11/6 17:03,17,6
2023/11/7,2023/11/7 06:12,2023/11/7 17:02,17,6
2023/11/8,2023/11/8 06:13,2023/11/8 17:01,17,6
2023/11/9,2023/11/9 06:14,2023/11/9 17:01,17,6
2023/11/10,2023/11/10 06:15,2023/11/10 17:00,17,6
2023/11/11,2023/11/11 06:16,2023/11/11 16:59,17,6
2023/11/12,2023/11/12 06:17,2023/11/12 16:59,17,6
2023/11/13,2023/11/13 06:17,2023/11/13 16:58,17,6
2023/11/14,2023/11/14 06:18,2023/11/14 16:58,17,6
2023/11/15,2023/11/15 06:19,2023/11/15 16:57,17,6
2023/11/16,2023/11/16 06:20,2023/11/16 16:57,17,6
2023/11/17,2023/11/17 06:21,2023/11/17 16:56,17,6
2023/11/18,2023/11/18 06:22,2023/11/18 16:56,17,6
2023/11/19,2023/11/19 06:23,2023/11/19 16:55,17,6
2023/11/20,2023/11/20 06:23,2023/11/20 16:55,17,6
2023/11/21,2023/11/21 06:24,2023/11/21 16:54,17,6
2023/11/22,2023/11/22 06:25,2023/11/22 16:54,17,6
2023/11/23,2023/11/23 06:26,2023/11/23 16:54,17,6
2023/11/24,2023/11/24 06:27,2023/11/24 16:53,17,6
2023/11/25,2023/11/25 06:28,2023/11/25 16:53,17,6
2023/11/26,2023/11/26 06:29,2023/11/26 16:53,17,6
2023/11/27,2023/11/27 06:29,2023/11/27 16:53,17,6
2023/11/28,2023/11/28 06:30,2023/11/28 16:52,17,7
2023/11/29,2023/11/29 06:31,2023/11/29 16:52,17,7
2023/11/30,2023/11/30 06:32,2023/11/30 16:52,17,7
